sample,FP1,FP2,T7,T8,P7,P8,O1,Oz,O2
189,147.83032,-24.620605,156.33008,19.34961,99.088135,56.68506,69.19731,-28.192871,4.0947266
190,135.45117,-36.58374,150.90918,1.0,93.306885,50.909668,31.123302,-47.2222,-12.336914
191,140.51807,-30.947021,150.11426,-8.425781,93.04431,30.1958,33.42848,-48.489777,-14.1311035
192,144.94287,-24.469482,156.88965,-7.8027344,94.373535,12.438477,52.40832,-52.087524,-16.39502
193,137.84595,-32.614502,155.73828,11.967773,94.36731,28.0542,62.479717,-45.957123,-16.733887
194,125.895996,-47.267334,132.47266,-3.5019531,78.21179,32.965332,34.31738,-58.52884,-30.218262
195,125.065186,-46.360107,141.19824,-10.640625,93.392944,35.361816,41.33727,-37.89322,-10.980957
196,127.299805,-41.7854,143.65723,-3.1435547,95.72046,26.777832,60.93738,-29.3078,4.5825195
197,137.81226,-28.673096,150.95996,22.46582,95.09448,37.914062,62.698383,-34.812317,5.4624023
198,145.86523,-27.618408,146.71582,18.250977,80.10132,36.206543,24.007,-69.861694,-31.613525
199,148.17847,-28.106445,149.40625,13.514648,87.85156,39.66455,23.192585,-62.568542,-34.308105
200,126.322266,-37.59912,142.95508,2.2714844,100.54089,41.79248,58.713253,-30.499298,-0.6784668
201,132.03589,-34.771973,146.31543,1.1699219,100.305664,18.876953,84.40581,-19.66159,7.5979004
202,117.91089,-55.220947,136.48535,-15.703125,86.72656,4.823242,57.602764,-41.601868,-14.100098
203,133.67358,-44.3667,145.14941,3.8261719,89.697754,30.200684,19.45184,-63.313293,-32.881104
204,142.01978,-30.19873,148.45801,13.390625,85.47778,42.57715,1.5891228,-77.299286,-40.350586
205,134.8064,-30.886719,139.40234,8.874023,87.273315,35.09961,35.89123,-54.212524,-12.407227
206,143.82495,-25.97168,156.48145,20.451172,104.12573,42.90381,86.29991,-14.173126,26.261475
207,133.30371,-38.612793,147.61426,20.59375,91.975464,29.86914,70.63017,-25.995087,-0.3395996
208,141.44263,-32.293457,147.125,10.388672,91.48108,28.496582,32.176,-49.66623,-24.647705
209,119.740234,-47.651855,136.41113,-9.3359375,82.12012,18.17041,7.954647,-68.22766,-36.671143
210,136.1836,-33.249023,151.64258,8.921875,93.18237,30.151855,40.744236,-54.510193,-12.193359
211,141.00122,-37.028564,159.1377,16.253906,89.302124,30.666016,48.777073,-52.324493,-6.9414062
212,129.48315,-48.898193,150.18262,1.2851562,97.117676,37.010254,55.474155,-35.359802,-5.26001
213,129.95532,-49.966553,143.81738,-10.172852,93.540405,20.430664,41.70725,-43.463684,-21.488281
214,137.53052,-36.8562,148.28516,-2.1015625,90.11694,12.238281,51.518375,-40.56775,-20.208252
215,152.69312,-22.372559,154.05371,9.061523,86.43225,8.33252,45.314922,-54.347473,-20.347168
216,148.05884,-30.794434,152.27148,18.96582,85.85083,22.225586,32.73469,-63.31076,-24.4375
217,148.84448,-38.67212,152.16113,6.098633,92.674194,38.086914,24.189854,-62.60492,-26.442139
218,127.68579,-54.627197,143.63965,-8.415039,101.19873,38.02881,48.310177,-39.260742,-6.291504
219,134.3186,-37.05664,148.95801,2.8203125,110.57214,30.29248,86.28383,-21.66687,13.1779785
220,145.72266,-35.434814,150.85742,3.2021484,97.17212,3.862793,69.77028,-34.880493,-11.334961
221,136.15112,-47.54126,140.74219,-10.834961,65.78723,-7.4160156,3.0001945,-84.987305,-58.183105
222,163.98218,-18.10913,152.27637,9.568359,73.22986,12.492676,-11.659073,-85.75214,-57.660156
223,155.93652,-25.496582,156.17285,3.2695312,85.58765,16.468262,27.864285,-57.14987,-24.534424
224,149.68066,-29.677246,157.96484,5.5371094,104.486084,33.268066,88.64748,-12.859161,19.900879
225,143.98364,-44.470215,147.60254,9.019531,104.13257,31.492676,78.804474,-26.306305,5.128418
226,128.11743,-64.68359,136.94238,-6.392578,83.1001,22.074707,16.716618,-69.02237,-36.336426
227,144.26172,-51.079346,143.33301,-13.824219,82.54822,14.374023,1.5105629,-75.85306,-41.816162
228,144.24365,-43.693115,147.6211,-12.508789,77.7478,-13.308105,18.558735,-72.41037,-41.260254
229,165.56079,-26.261963,164.39355,8.498047,88.264404,-1.4101562,54.000225,-43.54007,-15.689453
230,159.219,-38.803467,154.91016,11.333984,77.21399,19.242188,40.095165,-45.22705,-16.161133
231,149.18555,-48.770264,148.72754,2.9169922,80.20862,38.29248,27.856907,-50.726135,-16.903564
232,130.70874,-68.79541,142.28125,-18.53711,79.63489,23.25879,20.818546,-57.967346,-19.385254
233,118.38794,-79.372314,148.70996,-24.483398,92.89612,7.040039,51.20911,-46.086548,-7.92749
234,131.18115,-74.56763,149.88379,-15.607422,83.8219,4.152832,35.142628,-57.99298,-29.034912
235,127.06372,-84.21118,140.60352,-26.807617,63.92749,-7.043457,-17.851116,-93.04608,-64.96289
236,141.03369,-68.89819,141.65625,-29.083984,57.857544,-17.562988,-26.980106,-96.6557,-72.26929
237,132.82617,-70.81177,137.86621,-29.292969,62.187256,-16.70752,6.604557,-83.56723,-50.9834
238,120.30249,-90.15723,143.14453,-23.973633,79.2489,2.8183594,52.349804,-52.19519,-14.36792
239,112.3999,-115.60718,136.8418,-37.831055,74.3313,3.7216797,45.028545,-52.947144,-23.250977
240,114.10986,-119.34985,136.7998,-40.603516,81.90344,15.222168,23.9258,-53.889587,-27.989014
241,120.1626,-109.3103,134.64453,-48.000977,71.02881,1.4521484,-0.79850006,-73.6915,-44.03955
242,123.19751,-107.305664,148.60742,-44.86914,64.433716,-25.80664,-2.0966034,-87.62671,-51.328857
243,133.50781,-106.91235,155.76172,-34.890625,60.67578,-27.631348,-0.483387,-93.172,-55.42456
244,114.758545,-138.76611,139.90723,-50.510742,52.43286,-20.976074,-12.45731,-101.99942,-63.74536
245,103.55054,-153.09766,140.37207,-65.12109,63.641846,-10.717773,-3.60886,-82.53583,-54.153076
246,95.39551,-160.70996,144.41113,-73.70117,71.98987,-15.447266,26.418522,-59.69699,-31.069824
247,111.35156,-142.82715,157.49512,-49.401367,83.23682,-2.3354492,47.824993,-41.667084,-7.795166
248,103.97363,-161.25586,141.70703,-56.308594,52.753418,-22.342773,-18.880852,-102.65692,-63.24463
249,109.40112,-164.17651,138.02246,-77.73828,41.383545,-49.710938,-71.01568,-149.19394,-114.44702
250,95.653564,-172.34106,151.0586,-74.22168,61.07361,-29.162598,-22.94334,-108.81479,-75.94092
251,90.186035,-171.80493,148.19629,-70.634766,70.18872,-28.333984,37.64567,-63.62564,-33.581787
252,88.142334,-173.63916,149.90527,-61.124023,75.88989,-18.66504,47.552784,-55.750122,-28.364258
253,88.83008,-179.0,148.51562,-65.86035,71.78406,-17.220215,14.50066,-81.273865,-57.47754
254,88.371826,-176.30444,132.36426,-72.61719,53.3302,-23.192871,-37.739433,-116.88394,-84.97095
255,109.501465,-149.8916,144.22363,-65.484375,59.671997,-22.917969,-29.257107,-105.86026,-66.4707
256,122.411865,-136.41284,152.92773,-50.476562,62.9552,-23.416016,10.924892,-80.94833,-38.41284
257,125.98462,-126.69629,155.73438,-27.49121,73.72803,-2.5888672,28.430775,-62.518433,-29.767822
258,119.34839,-127.33545,147.63965,-32.301758,66.82922,-1.8901367,7.1448555,-81.20178,-50.424805
259,110.25708,-127.50928,147.39453,-36.523438,86.510376,21.57666,31.20882,-48.871185,-16.377686
260,112.56299,-117.507324,146.93066,-37.135742,90.81641,9.157227,46.036488,-41.82364,-10.195557
261,106.481445,-116.00293,151.24512,-27.021484,91.38245,1.4282227,42.220776,-51.229218,-16.045898
262,122.94336,-100.715576,144.64551,-19.737305,70.75903,-6.9624023,-19.330235,-102.72485,-66.00195
263,134.04077,-82.5437,143.91406,-15.986328,69.7605,13.597168,-25.928799,-93.2099,-52.511963
264,141.24048,-67.720215,156.35645,-8.733398,91.91931,17.172363,31.409908,-43.466248,-18.023193
265,128.1377,-67.338135,153.80566,-1.1464844,93.05884,17.995117,67.64426,-20.859467,7.8242188
266,131.04297,-69.37329,152.41602,7.415039,94.68933,29.305664,64.35608,-23.1073,5.2302246
267,133.06714,-64.51929,149.27148,7.4052734,96.374756,37.799805,28.577213,-47.724792,-16.73169
268,143.0249,-49.446533,142.05371,-1.3007812,80.256836,17.47998,-10.175983,-73.956635,-41.832764
269,132.97583,-50.33423,149.19531,-2.3222656,88.67981,5.2060547,7.2784843,-70.75067,-38.363037
270,115.97803,-62.112305,148.1377,0.14746094,102.79724,11.557617,61.03722,-38.831726,-5.08667
271,133.65796,-53.672363,156.44824,22.40039,110.44531,35.615723,74.98955,-9.5329895,14.871094
272,144.68164,-42.67212,135.78613,17.603516,84.99097,31.239258,28.613873,-40.349335,-14.670898
